<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXBC,D,18/01/10,00:00:00,10316.9400000,10316.9400000,10316.9400000,10316.9400000,0
MOEXBC,D,19/01/10,00:00:00,10294.7100000,10389.2500000,10141.5800000,10389.2500000,0
MOEXBC,D,20/01/10,00:00:00,10310.2800000,10387.5000000,10160.8200000,10162.4400000,0
MOEXBC,D,21/01/10,00:00:00,10233.1800000,10233.1800000,9976.4200000,9981.9100000,0
MOEXBC,D,22/01/10,00:00:00,9870.0900000,9954.7500000,9690.0900000,9796.3200000,0
MOEXBC,D,25/01/10,00:00:00,9718.9600000,9899.5900000,9707.5700000,9843.3000000,0
MOEXBC,D,26/01/10,00:00:00,9716.4000000,9716.4000000,9517.0500000,9666.3600000,0
MOEXBC,D,27/01/10,00:00:00,9585.0300000,9741.2100000,9460.2100000,9640.8800000,0
MOEXBC,D,28/01/10,00:00:00,9712.9700000,9868.1800000,9665.6800000,9692.1800000,0
MOEXBC,D,29/01/10,00:00:00,9651.3600000,9829.4400000,9638.7700000,9729.8600000,0
MOEXBC,D,01/02/10,00:00:00,9754.4400000,9829.6100000,9666.8200000,9822.0200000,0
MOEXBC,D,02/02/10,00:00:00,9878.6600000,9960.0200000,9840.8800000,9960.0200000,0
MOEXBC,D,03/02/10,00:00:00,10035.1600000,10065.5000000,9897.2900000,9936.5800000,0
MOEXBC,D,04/02/10,00:00:00,9940.6000000,9941.5800000,9557.4700000,9563.8900000,0
MOEXBC,D,05/02/10,00:00:00,9531.2600000,9531.2600000,9300.7800000,9307.3200000,0
MOEXBC,D,08/02/10,00:00:00,9430.0000000,9502.6200000,9142.7000000,9230.2400000,0
MOEXBC,D,09/02/10,00:00:00,9247.4500000,9306.1900000,9144.3200000,9202.9900000,0
MOEXBC,D,10/02/10,00:00:00,9312.3400000,9399.7800000,9130.7000000,9184.7600000,0
MOEXBC,D,11/02/10,00:00:00,9267.6200000,9322.5400000,9134.0500000,9235.8500000,0
MOEXBC,D,12/02/10,00:00:00,9254.6100000,9304.7600000,8935.2900000,9017.1600000,0
MOEXBC,D,15/02/10,00:00:00,9018.4600000,9093.2800000,8979.1400000,9084.4400000,0
MOEXBC,D,16/02/10,00:00:00,9084.4800000,9413.1300000,9084.4800000,9406.1200000,0
MOEXBC,D,17/02/10,00:00:00,9410.6700000,9451.9300000,9312.4300000,9352.2700000,0
MOEXBC,D,18/02/10,00:00:00,9373.8700000,9373.8700000,9129.4300000,9224.4300000,0
MOEXBC,D,19/02/10,00:00:00,9331.9200000,9391.3000000,9035.3400000,9382.8200000,0
MOEXBC,D,24/02/10,00:00:00,9367.2600000,9367.2600000,9093.3400000,9226.9100000,0
MOEXBC,D,25/02/10,00:00:00,9231.9500000,9231.9500000,8900.2600000,8970.2500000,0
MOEXBC,D,26/02/10,00:00:00,9045.6800000,9132.3400000,8968.9800000,9104.2300000,0
MOEXBC,D,27/02/10,00:00:00,9096.3300000,9161.0900000,9085.8700000,9121.6800000,0
MOEXBC,D,01/03/10,00:00:00,9121.6800000,9363.9500000,9121.6800000,9326.2300000,0
MOEXBC,D,02/03/10,00:00:00,9326.1200000,9470.5200000,9297.7900000,9409.8400000,0
MOEXBC,D,03/03/10,00:00:00,9409.8400000,9562.9400000,9337.7500000,9549.3500000,0
MOEXBC,D,04/03/10,00:00:00,9546.8700000,9630.8400000,9416.2000000,9556.7700000,0
MOEXBC,D,05/03/10,00:00:00,9585.9600000,9773.5700000,9585.9600000,9765.4500000,0
MOEXBC,D,09/03/10,00:00:00,9784.0600000,9825.3100000,9633.2500000,9777.9000000,0
MOEXBC,D,10/03/10,00:00:00,9751.0200000,9820.6500000,9628.4600000,9649.8800000,0
MOEXBC,D,11/03/10,00:00:00,9649.8800000,9730.7600000,9568.0600000,9618.8900000,0
MOEXBC,D,12/03/10,00:00:00,9641.2600000,9836.0900000,9641.2600000,9763.3400000,0
MOEXBC,D,15/03/10,00:00:00,9753.7000000,9781.2600000,9640.3900000,9650.4800000,0
MOEXBC,D,16/03/10,00:00:00,9694.0200000,9847.2200000,9673.5600000,9774.9700000,0
MOEXBC,D,17/03/10,00:00:00,9827.7200000,9943.6200000,9824.7100000,9903.8500000,0
MOEXBC,D,18/03/10,00:00:00,9901.8000000,9987.6600000,9807.2400000,9898.9100000,0
MOEXBC,D,19/03/10,00:00:00,9895.3500000,9932.2300000,9755.1400000,9788.6200000,0
MOEXBC,D,22/03/10,00:00:00,9791.2600000,9809.5800000,9616.8500000,9809.5800000,0
MOEXBC,D,23/03/10,00:00:00,9809.5800000,9836.4800000,9649.3900000,9700.5600000,0
MOEXBC,D,24/03/10,00:00:00,9741.9100000,9757.8000000,9614.8000000,9677.6000000,0
MOEXBC,D,25/03/10,00:00:00,9664.4600000,9711.3000000,9579.7900000,9668.1600000,0
MOEXBC,D,26/03/10,00:00:00,9599.6200000,9724.9500000,9599.6200000,9645.3700000,0
MOEXBC,D,29/03/10,00:00:00,9667.7400000,9900.8000000,9647.7000000,9883.1200000,0
MOEXBC,D,30/03/10,00:00:00,9890.7200000,9948.1400000,9825.5300000,9865.9800000,0
MOEXBC,D,31/03/10,00:00:00,9907.7600000,10041.5100000,9901.5900000,9961.7200000,0
MOEXBC,D,01/04/10,00:00:00,9955.3800000,10192.7500000,9955.3800000,10179.9700000,0
MOEXBC,D,02/04/10,00:00:00,10172.7600000,10226.4400000,10110.4300000,10162.6600000,0
MOEXBC,D,05/04/10,00:00:00,10182.0200000,10215.9500000,10111.7800000,10214.6200000,0
MOEXBC,D,06/04/10,00:00:00,10209.8000000,10348.1800000,10151.1500000,10314.7700000,0
MOEXBC,D,07/04/10,00:00:00,10321.5400000,10330.6100000,10160.7800000,10182.1400000,0
MOEXBC,D,08/04/10,00:00:00,10076.9000000,10154.7700000,10031.1800000,10133.2600000,0
MOEXBC,D,09/04/10,00:00:00,10186.2900000,10320.5400000,10186.2900000,10274.1600000,0
MOEXBC,D,12/04/10,00:00:00,10274.1600000,10381.1100000,10251.0100000,10315.4900000,0
MOEXBC,D,13/04/10,00:00:00,10312.7400000,10350.8700000,10221.0200000,10302.7200000,0
MOEXBC,D,14/04/10,00:00:00,10323.9700000,10514.8000000,10323.9700000,10514.8000000,0
MOEXBC,D,15/04/10,00:00:00,10514.8000000,10555.3800000,10416.0300000,10483.5600000,0
MOEXBC,D,16/04/10,00:00:00,10483.5600000,10483.5600000,10149.6800000,10179.3500000,0
MOEXBC,D,19/04/10,00:00:00,10176.1900000,10176.1900000,9876.9600000,10014.3700000,0
MOEXBC,D,20/04/10,00:00:00,10063.7000000,10178.9600000,10042.0700000,10137.7100000,0
MOEXBC,D,21/04/10,00:00:00,10154.3600000,10209.3200000,10026.0800000,10063.2400000,0
MOEXBC,D,22/04/10,00:00:00,10038.3600000,10117.0000000,9845.4800000,9905.6300000,0
MOEXBC,D,23/04/10,00:00:00,9969.5800000,10067.1800000,9921.6700000,10045.3100000,0
MOEXBC,D,26/04/10,00:00:00,10088.8700000,10210.1200000,10088.8700000,10158.8600000,0
MOEXBC,D,27/04/10,00:00:00,10141.5100000,10141.5100000,9933.7900000,9936.5200000,0
MOEXBC,D,28/04/10,00:00:00,9911.5900000,9924.1200000,9750.7600000,9779.3400000,0
MOEXBC,D,29/04/10,00:00:00,9818.0700000,9969.5900000,9795.0700000,9960.1400000,0
MOEXBC,D,30/04/10,00:00:00,9958.1700000,9963.5400000,9782.1300000,9791.8700000,0
MOEXBC,D,04/05/10,00:00:00,9810.4800000,9912.1900000,9472.7300000,9498.7800000,0
MOEXBC,D,05/05/10,00:00:00,9432.8900000,9619.8100000,9302.3100000,9444.7200000,0
MOEXBC,D,06/05/10,00:00:00,9399.2000000,9549.6700000,9290.4300000,9340.5800000,0
MOEXBC,D,07/05/10,00:00:00,9071.9700000,9204.5000000,8769.6800000,8839.9900000,0
MOEXBC,D,11/05/10,00:00:00,8834.0500000,9301.7800000,8834.0500000,9296.8600000,0
MOEXBC,D,12/05/10,00:00:00,9255.1100000,9619.5600000,9136.8200000,9608.4400000,0
