<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXCN,D,16/12/09,00:00:00,3358.8300000,3375.6400000,3333.9500000,3360.2100000,365163112
MOEXCN,D,17/12/09,00:00:00,3359.3200000,3370.9300000,3303.9100000,3305.9600000,166404278
MOEXCN,D,18/12/09,00:00:00,3305.7100000,3337.2900000,3305.7100000,3325.7700000,145863748
MOEXCN,D,21/12/09,00:00:00,3326.3900000,3392.4500000,3322.3900000,3373.6200000,106161807
MOEXCN,D,22/12/09,00:00:00,3376.3300000,3392.3500000,3375.7300000,3384.2000000,107117962
MOEXCN,D,23/12/09,00:00:00,3384.1000000,3425.2700000,3370.7200000,3408.4500000,97335939
MOEXCN,D,24/12/09,00:00:00,3408.4500000,3413.9900000,3356.6300000,3356.6400000,82270002
MOEXCN,D,25/12/09,00:00:00,3361.6700000,3361.8700000,3318.0100000,3336.9100000,39300742
MOEXCN,D,28/12/09,00:00:00,3336.9100000,3349.6300000,3292.0500000,3320.7900000,160222057
MOEXCN,D,29/12/09,00:00:00,3320.8500000,3330.5100000,3291.6500000,3301.6500000,123346809
MOEXCN,D,30/12/09,00:00:00,3301.7200000,3308.1800000,3265.3400000,3297.3700000,53117753
MOEXCN,D,31/12/09,00:00:00,3297.3700000,3313.2900000,3293.4900000,3308.9100000,13654940
MOEXCN,D,11/01/10,00:00:00,3308.9800000,3417.0200000,3255.8200000,3416.9300000,103819524
MOEXCN,D,12/01/10,00:00:00,3416.9300000,3431.0700000,3381.0500000,3431.0400000,74669314
MOEXCN,D,13/01/10,00:00:00,3431.0900000,3431.0900000,3391.2600000,3405.6700000,88196391
MOEXCN,D,14/01/10,00:00:00,3405.6900000,3486.5800000,3405.1100000,3473.7500000,134675769
MOEXCN,D,15/01/10,00:00:00,3473.7600000,3519.0700000,3470.7800000,3515.6700000,88950667
MOEXCN,D,18/01/10,00:00:00,3539.2800000,3553.2500000,3513.5800000,3549.5400000,87063770
MOEXCN,D,19/01/10,00:00:00,3549.6700000,3572.6800000,3522.4300000,3572.6800000,162873371
MOEXCN,D,20/01/10,00:00:00,3572.6800000,3688.5200000,3567.6100000,3643.5900000,147758915
MOEXCN,D,21/01/10,00:00:00,3643.8600000,3671.1600000,3596.1400000,3617.0100000,147169717
MOEXCN,D,22/01/10,00:00:00,3617.0100000,3619.5400000,3509.3900000,3555.5000000,224592826
MOEXCN,D,25/01/10,00:00:00,3555.8600000,3569.3600000,3527.1600000,3537.6600000,140151375
MOEXCN,D,26/01/10,00:00:00,3537.6200000,3537.6200000,3479.2100000,3515.2500000,145078353
MOEXCN,D,27/01/10,00:00:00,3515.2400000,3534.5600000,3482.2300000,3532.1500000,140238145
MOEXCN,D,28/01/10,00:00:00,3532.1500000,3590.4300000,3522.1200000,3582.6600000,361023344
MOEXCN,D,29/01/10,00:00:00,3582.6600000,3585.5400000,3537.2300000,3553.9900000,163386050
MOEXCN,D,01/02/10,00:00:00,3556.6900000,3632.6400000,3542.4300000,3632.4000000,122157657
MOEXCN,D,02/02/10,00:00:00,3632.4400000,3705.9000000,3629.6400000,3701.4900000,191421310
MOEXCN,D,03/02/10,00:00:00,3701.4000000,3847.5000000,3698.3000000,3790.8400000,181757390
MOEXCN,D,04/02/10,00:00:00,3790.8300000,3847.1400000,3692.8800000,3711.2700000,118136593
MOEXCN,D,05/02/10,00:00:00,3711.2400000,3711.2400000,3599.4900000,3669.8600000,113200713
MOEXCN,D,08/02/10,00:00:00,3669.8000000,3690.0300000,3579.6700000,3619.3100000,86025658
MOEXCN,D,09/02/10,00:00:00,3620.2500000,3645.8900000,3599.1000000,3607.3500000,113881557
MOEXCN,D,10/02/10,00:00:00,3608.2800000,3637.9000000,3590.1200000,3613.5500000,83613558
MOEXCN,D,11/02/10,00:00:00,3613.9200000,3654.8500000,3599.8700000,3654.2800000,229679535
MOEXCN,D,12/02/10,00:00:00,3654.7000000,3667.3500000,3615.3400000,3628.0500000,189968005
MOEXCN,D,15/02/10,00:00:00,3628.9000000,3660.0400000,3611.8000000,3660.0400000,40410836
MOEXCN,D,16/02/10,00:00:00,3660.0500000,3732.7200000,3626.6700000,3732.2400000,60218258
MOEXCN,D,17/02/10,00:00:00,3732.3700000,3762.6500000,3700.6200000,3734.2300000,73839910
MOEXCN,D,18/02/10,00:00:00,3734.2200000,3737.5400000,3699.8400000,3707.9500000,30269568
MOEXCN,D,19/02/10,00:00:00,3707.4800000,3727.5900000,3687.2200000,3707.0500000,23763066
MOEXCN,D,24/02/10,00:00:00,3707.9500000,3720.8900000,3698.9300000,3714.5300000,26920029
MOEXCN,D,25/02/10,00:00:00,3714.5400000,3740.9900000,3695.6100000,3711.0600000,31010954
MOEXCN,D,26/02/10,00:00:00,3711.4600000,3901.4100000,3711.4600000,3771.6400000,149775928
MOEXCN,D,27/02/10,00:00:00,3771.2300000,3784.9900000,3749.2000000,3784.5100000,38704308
MOEXCN,D,01/03/10,00:00:00,3784.5600000,3799.3700000,3768.9900000,3782.8800000,94504881
MOEXCN,D,02/03/10,00:00:00,3782.7700000,3830.7200000,3768.2200000,3791.2300000,135290023
MOEXCN,D,03/03/10,00:00:00,3791.4000000,3859.5800000,3784.2500000,3858.0800000,213446767
MOEXCN,D,04/03/10,00:00:00,3857.9200000,3877.4500000,3826.8000000,3849.7600000,134836411
MOEXCN,D,05/03/10,00:00:00,3854.9400000,3890.9700000,3850.2200000,3886.1600000,74668604
MOEXCN,D,09/03/10,00:00:00,3886.1600000,3905.2000000,3855.4300000,3890.9700000,64036610
MOEXCN,D,10/03/10,00:00:00,3890.9200000,3919.8800000,3853.3600000,3867.0900000,91019629
MOEXCN,D,11/03/10,00:00:00,3867.0800000,3899.4400000,3866.2400000,3886.2600000,481860573
MOEXCN,D,12/03/10,00:00:00,3886.6700000,3932.1500000,3885.3900000,3901.4700000,588593053
MOEXCN,D,15/03/10,00:00:00,3901.3400000,3901.8800000,3879.0600000,3879.3900000,388344794
MOEXCN,D,16/03/10,00:00:00,3880.7000000,3910.4300000,3880.7000000,3890.0900000,264924357
MOEXCN,D,17/03/10,00:00:00,3890.5900000,3907.1800000,3877.4800000,3884.5000000,175133543
MOEXCN,D,18/03/10,00:00:00,3884.4900000,3927.5500000,3878.8200000,3913.4800000,120299623
MOEXCN,D,19/03/10,00:00:00,3914.3800000,3951.8600000,3914.3800000,3939.5000000,112077231
MOEXCN,D,22/03/10,00:00:00,3939.1900000,3941.6100000,3914.2200000,3928.7200000,91402411
MOEXCN,D,23/03/10,00:00:00,3928.7200000,3971.8200000,3926.8700000,3967.1300000,384332569
MOEXCN,D,24/03/10,00:00:00,3967.1900000,4024.9400000,3964.7400000,4020.1300000,131809397
MOEXCN,D,25/03/10,00:00:00,4020.1100000,4068.9700000,4020.1100000,4068.8300000,153672565
MOEXCN,D,26/03/10,00:00:00,4068.8400000,4130.9300000,4065.2900000,4120.5200000,205183076
MOEXCN,D,29/03/10,00:00:00,4112.2800000,4166.3100000,4102.5300000,4144.2700000,251511992
MOEXCN,D,30/03/10,00:00:00,4144.4400000,4175.1800000,4115.3300000,4167.0300000,102368311
MOEXCN,D,31/03/10,00:00:00,4167.7200000,4221.8600000,4142.8500000,4206.8400000,167072668
MOEXCN,D,01/04/10,00:00:00,4206.8400000,4229.5800000,4184.7700000,4208.1100000,190373970
MOEXCN,D,02/04/10,00:00:00,4208.1000000,4230.9700000,4207.8900000,4213.8300000,223365643
MOEXCN,D,05/04/10,00:00:00,4213.8000000,4221.8000000,4186.6800000,4195.0600000,150130419
MOEXCN,D,06/04/10,00:00:00,4195.0600000,4249.3000000,4184.4400000,4249.3000000,541421286
MOEXCN,D,07/04/10,00:00:00,4249.3000000,4307.7300000,4226.0000000,4237.5400000,373479175
MOEXCN,D,08/04/10,00:00:00,4237.5400000,4257.9700000,4213.3500000,4240.5000000,148671967
MOEXCN,D,09/04/10,00:00:00,4233.0300000,4317.3000000,4231.5500000,4281.5000000,179219929
MOEXCN,D,12/04/10,00:00:00,4281.5100000,4340.3000000,4281.5100000,4323.8100000,138307513
MOEXCN,D,13/04/10,00:00:00,4325.2800000,4383.5700000,4299.4000000,4383.3100000,119799860
MOEXCN,D,14/04/10,00:00:00,4383.1200000,4411.2600000,4378.3300000,4401.1400000,128154568
MOEXCN,D,15/04/10,00:00:00,4400.6400000,4451.9000000,4394.3500000,4446.1700000,89794332
MOEXCN,D,16/04/10,00:00:00,4446.1700000,4446.2300000,4375.6200000,4394.9000000,97353054
MOEXCN,D,19/04/10,00:00:00,4395.4000000,4395.4000000,4211.7300000,4305.0700000,137086253
MOEXCN,D,20/04/10,00:00:00,4305.0800000,4373.5400000,4305.0800000,4333.6000000,100750244
MOEXCN,D,21/04/10,00:00:00,4333.6400000,4400.0100000,4327.6000000,4347.2300000,131036867
MOEXCN,D,22/04/10,00:00:00,4347.2300000,4378.5100000,4219.2000000,4219.4900000,62948162
MOEXCN,D,23/04/10,00:00:00,4219.5900000,4291.2900000,4193.1000000,4291.2300000,121053980
MOEXCN,D,26/04/10,00:00:00,4292.6000000,4333.1900000,4210.9700000,4269.8900000,62128818
MOEXCN,D,27/04/10,00:00:00,4271.2200000,4271.8000000,4233.6300000,4248.8300000,53812450
MOEXCN,D,28/04/10,00:00:00,4249.5100000,4250.1800000,4140.6800000,4173.0200000,106784521
MOEXCN,D,29/04/10,00:00:00,4173.1900000,4217.9500000,4173.1900000,4186.9600000,105766183
MOEXCN,D,30/04/10,00:00:00,4209.8900000,4220.5400000,4100.3200000,4178.9700000,65623835
MOEXCN,D,04/05/10,00:00:00,4179.8200000,4196.4300000,4078.8900000,4095.1800000,79346716
MOEXCN,D,05/05/10,00:00:00,4093.1800000,4126.0400000,3982.4400000,3999.0500000,80435921
MOEXCN,D,06/05/10,00:00:00,3998.9400000,4009.2200000,3933.1100000,3983.5500000,72905932
MOEXCN,D,07/05/10,00:00:00,3981.6500000,3981.6500000,3752.2600000,3801.9900000,92978185
MOEXCN,D,11/05/10,00:00:00,3802.8900000,3947.2000000,3788.7600000,3825.4500000,232367274
MOEXCN,D,12/05/10,00:00:00,3825.4500000,3956.6400000,3710.9000000,3952.4000000,170517480
MOEXCN,D,13/05/10,00:00:00,3952.4200000,3960.6300000,3894.5100000,3925.8800000,137961554
MOEXCN,D,14/05/10,00:00:00,3926.0400000,3932.7200000,3846.6700000,3854.1300000,88309593
MOEXCN,D,17/05/10,00:00:00,3852.9800000,3855.0500000,3771.0800000,3830.7100000,44332089
MOEXCN,D,18/05/10,00:00:00,3837.4700000,3874.3100000,3837.1300000,3869.5100000,46934929
MOEXCN,D,19/05/10,00:00:00,3869.5000000,3869.5000000,3753.1000000,3766.1100000,134399887
MOEXCN,D,20/05/10,00:00:00,3766.1800000,3781.1200000,3571.8200000,3590.9300000,73156901
MOEXCN,D,21/05/10,00:00:00,3591.2200000,3601.4800000,3457.6900000,3575.7200000,112594967
MOEXCN,D,24/05/10,00:00:00,3578.6400000,3647.5300000,3578.6400000,3647.5300000,78793720
MOEXCN,D,25/05/10,00:00:00,3635.8900000,3635.8900000,3521.3700000,3526.6200000,119927007
MOEXCN,D,26/05/10,00:00:00,3527.6900000,3744.3400000,3449.4200000,3728.1200000,199839586
MOEXCN,D,27/05/10,00:00:00,3730.4600000,3800.2200000,3685.6000000,3797.2400000,104489761
MOEXCN,D,28/05/10,00:00:00,3797.1500000,3802.6000000,3751.2900000,3789.5500000,111746592
MOEXCN,D,31/05/10,00:00:00,3789.9800000,3844.7400000,3782.1900000,3832.6200000,59131627
MOEXCN,D,01/06/10,00:00:00,3832.6500000,3835.9900000,3779.4300000,3823.4200000,86316061
MOEXCN,D,02/06/10,00:00:00,3823.0700000,3895.5200000,3805.3700000,3895.5200000,72816187
MOEXCN,D,03/06/10,00:00:00,3895.6300000,3973.5600000,3895.6300000,3964.8800000,65582849
MOEXCN,D,04/06/10,00:00:00,3964.9000000,4057.5700000,3936.8600000,3953.4700000,137161117
MOEXCN,D,07/06/10,00:00:00,3949.3400000,3949.5100000,3759.2700000,3868.8400000,66631830
MOEXCN,D,08/06/10,00:00:00,3869.9100000,3941.1900000,3869.9100000,3885.8700000,60503584
MOEXCN,D,09/06/10,00:00:00,3886.0100000,3936.5000000,3865.0500000,3891.9600000,48292538
MOEXCN,D,10/06/10,00:00:00,3891.9600000,3909.9500000,3889.8300000,3902.6800000,57148086
MOEXCN,D,11/06/10,00:00:00,3903.2600000,3935.2400000,3894.2100000,3930.9200000,30700091
MOEXCN,D,15/06/10,00:00:00,3931.2000000,3977.8400000,3915.8800000,3977.8400000,64548689
MOEXCN,D,16/06/10,00:00:00,3978.1300000,4014.5300000,3969.3600000,3981.4100000,48454232
MOEXCN,D,17/06/10,00:00:00,3984.7800000,3993.4100000,3957.0700000,3972.5900000,49758603
MOEXCN,D,18/06/10,00:00:00,3972.7200000,3982.7200000,3927.8100000,3953.2100000,164880865
MOEXCN,D,21/06/10,00:00:00,3956.6100000,3992.4700000,3956.6100000,3989.0100000,172457838
MOEXCN,D,22/06/10,00:00:00,3988.3600000,4009.8600000,3971.5400000,4001.3100000,167116041
MOEXCN,D,23/06/10,00:00:00,4001.3400000,4025.0600000,3966.5200000,3967.0600000,213580406
MOEXCN,D,24/06/10,00:00:00,3970.1600000,3991.9500000,3963.4600000,3979.0300000,84066149
MOEXCN,D,25/06/10,00:00:00,3979.0300000,3983.3000000,3932.6100000,3941.5900000,122152258
MOEXCN,D,28/06/10,00:00:00,3941.5900000,4002.7400000,3922.7900000,4002.7400000,81314365
MOEXCN,D,29/06/10,00:00:00,4001.3000000,4001.3000000,3860.4700000,3869.1200000,72929006
MOEXCN,D,30/06/10,00:00:00,3869.1600000,3910.0300000,3792.7000000,3900.9600000,67832574
MOEXCN,D,01/07/10,00:00:00,3921.3600000,3921.3600000,3766.4100000,3766.9000000,59471856
MOEXCN,D,02/07/10,00:00:00,3769.3000000,3785.3800000,3762.1200000,3777.0100000,40398807
MOEXCN,D,05/07/10,00:00:00,3776.9800000,3803.3000000,3776.7900000,3783.9000000,31015324
MOEXCN,D,06/07/10,00:00:00,3783.9000000,3891.0600000,3783.9000000,3890.3300000,45795436
MOEXCN,D,07/07/10,00:00:00,3889.6400000,3901.1500000,3830.7300000,3842.7100000,36490059
MOEXCN,D,08/07/10,00:00:00,3843.1100000,3909.7900000,3843.1100000,3889.3000000,48961470
MOEXCN,D,09/07/10,00:00:00,3889.3800000,3908.4300000,3857.2600000,3892.8500000,53460445
MOEXCN,D,12/07/10,00:00:00,3892.9100000,3949.3300000,3876.1600000,3946.2500000,38954449
MOEXCN,D,13/07/10,00:00:00,3945.8900000,3980.9300000,3926.9400000,3979.2200000,37421740
MOEXCN,D,14/07/10,00:00:00,3979.3100000,4012.4900000,3979.3100000,3994.5800000,83252191
MOEXCN,D,15/07/10,00:00:00,3994.6600000,4058.6400000,3994.6600000,4012.1000000,38997412
MOEXCN,D,16/07/10,00:00:00,4012.4800000,4037.6500000,3990.0800000,4036.6700000,47756644
MOEXCN,D,19/07/10,00:00:00,4036.9000000,4043.7500000,4008.7100000,4029.9600000,62445403
MOEXCN,D,20/07/10,00:00:00,4029.8500000,4033.2500000,3977.7400000,3990.5700000,87607152
MOEXCN,D,21/07/10,00:00:00,3991.3500000,4038.7200000,3991.3500000,4038.5300000,44894707
MOEXCN,D,22/07/10,00:00:00,4039.0000000,4069.6600000,4037.8600000,4059.3700000,55681852
MOEXCN,D,23/07/10,00:00:00,4059.8700000,4103.5700000,4053.2400000,4103.5700000,89506889
MOEXCN,D,26/07/10,00:00:00,4103.6900000,4118.0500000,4083.8200000,4098.5900000,41829916
MOEXCN,D,27/07/10,00:00:00,4098.5900000,4108.0300000,4076.3300000,4076.3300000,80806516
MOEXCN,D,28/07/10,00:00:00,4076.0200000,4099.6800000,4050.5500000,4073.2400000,106135651
MOEXCN,D,29/07/10,00:00:00,4074.1500000,4118.5800000,4042.9200000,4101.8300000,97676345
MOEXCN,D,30/07/10,00:00:00,4101.5900000,4105.8400000,4048.8500000,4104.1100000,53727600
MOEXCN,D,02/08/10,00:00:00,4104.1200000,4148.1100000,4103.9500000,4144.8600000,60425370
MOEXCN,D,03/08/10,00:00:00,4145.6200000,4165.7900000,4110.0500000,4128.0300000,104262873
MOEXCN,D,04/08/10,00:00:00,4128.0300000,4190.5600000,4123.3500000,4184.1700000,91750527
MOEXCN,D,05/08/10,00:00:00,4184.1700000,4218.3000000,4184.1700000,4193.1800000,82581737
MOEXCN,D,06/08/10,00:00:00,4193.4100000,4194.9500000,4172.3800000,4172.3800000,38352390
MOEXCN,D,09/08/10,00:00:00,4172.4800000,4199.2900000,4172.4800000,4187.5000000,34659594
MOEXCN,D,10/08/10,00:00:00,4178.3100000,4178.6800000,4143.5500000,4153.6600000,34857070
MOEXCN,D,11/08/10,00:00:00,4154.0900000,4155.5200000,4108.3100000,4117.6700000,38822120
