14-12-2020, В Москве отметили снижение числа безработных 
14-12-2020, Московские власти не планируют сокращать инвестиционные программы 
14-12-2020, Московские власти оценили влияние пандемии на экономику 
14-12-2020, В Калининградской области выдали первый займ самозанятому 
14-12-2020, СМИ: цены на сахар и подсолнечное масло могут зафиксировать на три месяца 
13-12-2020, Путин потребовал не рассказывать ему сказки о ситуации с ростом цен 
13-12-2020, Путин раскритиковал правительство из-за пошлин на подсолнечное масло 
13-12-2020, Путин назвал рост цен на макароны недопустимым 
13-12-2020, Путин потребовал за неделю решить вопрос с ценами на продукты 
12-12-2020, Власти озвучили данные по ликвидации ИП в Москве в 2020 году 
12-12-2020, В США заявили, что Северный поток — 2 никогда не будет функционировать 
11-12-2020, СевПоток-2 начали достраивать, бумаги Газпрома дорожают 
11-12-2020, Кубань в 2020 году досрочно погасит банковские кредиты на 16 млрд рублей 
11-12-2020, Треть россиян в опросе назвали себя бедными 
11-12-2020, Кубань сократит долговую нагрузку на бюджет 
11-12-2020, Власти Ленобласти поддержали работающий в соцсфере бизнес 
11-12-2020, Москва станет крупнейшей площадкой по выпуску вакцины от COVID-19 
11-12-2020, АвтоВАЗ отменил приказ о четырехдневной рабочей неделе 
11-12-2020, СМИ рассказали о переговорах Москвы и Баку по поставкам томатов 
11-12-2020, Воронежская область выделит на нацпроекты 7,6 миллиарда рублей 
11-12-2020, Любимов: рязанские животноводы добились прекрасных результатов 
11-12-2020, Трутнев считает, что отношение Путина к проекту моста на Сахалин меняется 
11-12-2020, Трутнев проверит ситуацию с трудоустройством работников Роснефти 
11-12-2020, Трутнев пообещал проверить цены на продукты на Дальнем Востоке 
10-12-2020, Татарстан ожидает роста производства рыбы и рыбопосадочного материала 
10-12-2020, Почти 100 представителей малого бизнеса Подмосковья получат субсидии 
10-12-2020, Подмосковье экспортировало с/х продукции почти на $1 млрд 
10-12-2020, В Самарской области подвели первые итоги проекта умная дорога 
10-12-2020, Фонд развития бизнеса Кубани выдал 184 поручительства на 1,3 млрд рублей 
10-12-2020, Нижегородская область сохранит объем строительства дорог по нацпроекту 
10-12-2020, Песков рассказал об обращениях россиян к Путину из-за цен на продукты 
10-12-2020, Газпром вложит более 3,8 млрд рублей в газификацию Самарской области 
10-12-2020, Платежная система Мир провела первые операции в Южной Корее 
10-12-2020, Мишустин предостерег торговые сети от попыток нажиться на людях 
10-12-2020, Мишустин раскритиковал работу министров из-за роста цен на продукты 
10-12-2020, Мишустин призвал принять меры для сдерживания цен на продукты 
10-12-2020, В Сахалинской области расширили границы ТОР 
10-12-2020, Трутнев обсудит с Мишустиным энергообеспечение острова Русский 
10-12-2020, Судно для укладки труб Северного потока — 2 приблизилось к месту работ 
10-12-2020, В Счетной палате насторожены из-за особого налогового режима самозанятых 
10-12-2020, Вступил в силу запрет на импорт томатов и яблок из Азербайджана 
09-12-2020, Бюджет Воронежской области 2021 года прошел нулевое чтение 
09-12-2020, Экспорт фармпродукции Москвы вырос за 9 месяцев более чем на 36% 
09-12-2020, Калининградская область потратит 90 млн евро на приграничные программы 
09-12-2020, Томенко высоко оценил итоги работы аграриев Алтайского края 
09-12-2020, До конца года. В OMV озвучили намерения по укладке Северного потока-2 
09-12-2020, Фирма в небольшом селе в ХМАО займется производством рыбных консервов 
09-12-2020, Россельхознадзор рассмотрит вопрос о запрете поставок томатов из Турции 
09-12-2020, Мишустин осматривает выставку образцов российской экспортной продукции 
09-12-2020, В Москве заработал сервис для привлечения инвестиций в стартапы 
09-12-2020, Названа сфера с самыми высокими коррупционными рисками в России 
09-12-2020, Мишустин выступит на международном экспортном форуме Сделано в России 
08-12-2020, Девелопер ЛСР купил землю концерна Алмаз-Антей в Петербурге 
08-12-2020, Кубань поставила за рубеж продукцию более чем на 2,3 миллиарда долларов 
08-12-2020, Путин подписал закон о заморозке накопительной пенсии еще на три года 
08-12-2020, Сбербанк будет получать от операторов связи данные о звонках мошенников 
08-12-2020, В Ленобласти приняли бюджет региона на 2021 год 
08-12-2020, Почему Академик Черский удаляется от места строительства Севпотока-2? 
08-12-2020, Исследование показало резкий рост спроса на услуги курьеров в России 
08-12-2020, Академик Черский отошел от места строительства Северного потока — 2 
08-12-2020, Судно Академик Черский покинуло место достройки Северного потока — 2 
08-12-2020, Эксперты ожидают дальнейший быстрый рост ипотеки в 2021 году 
07-12-2020, Ленобласть - лидер в СЗФО по агрострахованию 
07-12-2020, Экспортеры Москвы заключили контракты на 515 млн при поддержке города 
05-12-2020, Судно для укладки труб Северного потока — 2 развернулось обратно 
05-12-2020, Путин рассказал, куда пойдут вырученные от повышения НДФЛ деньги 
04-12-2020, Экспортный контракт заключила подмосковная компания на онлайн-выставке 
04-12-2020, Кубань инициирует изменение законодательства в части поддержки IT-сферы 
04-12-2020, Кубань вновь запустила акселерационную программу для бизнеса 
04-12-2020, Предприятия Ленобласти оптимизируют производство 
04-12-2020, Под Пензой построят семеноводческий завод за 400 миллионов рублей 
04-12-2020, Нижегородский губернатор обсудил реализацию нацпроектов с главой Минстроя 
04-12-2020, Пензенские власти разрабатывают дополнительные меры поддержки бизнеса 
04-12-2020, Воронежская экономика получит около 14 миллиардов рублей новых инвестиций 
04-12-2020, В бундестаге одобрили действия регионов в защиту Северного потока — 2 
04-12-2020, Глава Приамурья назвал 2020 год успешным для экспорта сельхозпродукции 
04-12-2020, Тюменские производители наращивают экспорт продукции АПК 
04-12-2020, В бундестаге рассказали о дебатах с США по Северному потоку — 2 
04-12-2020, Столичный промкомплекс получил льготный заем на развитие производства 
04-12-2020, В Совфеде оценили расширение санкций США против Северного потока — 2 
04-12-2020, Убыточен. ЦБ отозвал лицензию у Евроазиатского инвестиционного банка 
04-12-2020, Центробанк отозвал лицензию у Евроазиатского Инвестиционного Банка 
03-12-2020, Губернатор вручил 16 машин лучшим аграриям Омской области 
03-12-2020, В Нижегородской области рассказали о проекте Оздоровление Волги 
03-12-2020, Москва прибегнет к заимствованиям для покрытия дефицита бюджета  
03-12-2020, Назван способ обойти ограничения против Северного потока — 2 
03-12-2020, На Форуме Сделано в России обсудят развитие инновационного бизнеса 
03-12-2020, Проект модернизации аэропорта Бодайбо будет готов до конца 2020 года 
03-12-2020, Уголовных дел на бизнесменов в Татарстане стало в четыре раза меньше 
03-12-2020, Глава Приамурья заявил о необходимости диалога между бизнесом и властью 
03-12-2020, Тинькофф введет комиссию на часть переводов клиентам Сбербанка 
03-12-2020, На Форуме Сделано в России обсудят поддержку бизнеса в период пандемии 
03-12-2020, Татарстан стал одним из лидеров по реализации дорожного нацпроекта 
03-12-2020, Почти 50 тысяч тонн сыра произвели в Подмосковье в 2020 году 
03-12-2020, Верхневолжье и Газпром подписали программу газификации региона 
03-12-2020, Кондратьев прокомментировал предложение о поддержке производителей труб 
02-12-2020, В Пензе создадут дорожную карту развития транспортной инфраструктуры 
02-12-2020, Победа отменит рейсы в Магас из-за угрозы столкновения самолета с горой 
02-12-2020, Фермеры Кубани получат гранты на 65 миллионов рублей 
02-12-2020, В Якутии с 2021 года изменится механизм поддержки сельхозпроизводства 
02-12-2020, Около 4 тонн сухопутной улитки завезли в Подмосковье 
02-12-2020, Маркировка лекарств: через тернии к защите от фальсификата 
02-12-2020, Мэрия: магазины Москвы готовы к предновогоднему ажиотажу 
02-12-2020, Алабуга из Татарстана осталась лучшей в инвестрейтинге ОЭЗ России 
02-12-2020, Эксперт оценил возможную схему обхода санкций против Северного потока-2 
02-12-2020, Нижегородский губернатор обсудил нацпроекты с главой Минпромторга 
02-12-2020, В Подмосковье назвали топ-5 крупнейших инвестпроектов 2021 года 
02-12-2020, Аналитики спрогнозировали, насколько вырастут цены по итогам года 
02-12-2020, Центробанк предупредил о росте числа финансовых пирамид в интернете 
02-12-2020, Ста тысячам многодетных семей в России списали часть ипотечного долга 
01-12-2020, Путина пригласили на запуск ГХК в Усть-Куте в 2024 году 
01-12-2020, Путин призвал активнее продвигать продукцию нефтехимии 
01-12-2020, В ФРГ дали разрешение на укладку Северного потока-2 в декабре  
01-12-2020, Альянс силен. Экономист о возобновлении прокладки Северного потока-2 
01-12-2020, Кубань в 2021 году выделит 200 млн руб на субсидирование авиаперевозок 
01-12-2020, Россияне рассказали, какие авто нужно облагать налогом на роскошь 
01-12-2020, Правительство расширит грантовую поддержку сельхозпроизводителей 
01-12-2020, Выплаты, кредиты, больничный: что изменится с 1 декабря  
01-12-2020, Сургутский район ХМАО направит на приоритетные цели 1,5 миллиарда рублей 
01-12-2020, В России запустили маркировку ювелирной продукции в тестовом режиме 
01-12-2020, Россиянам напомнили о последствиях за неуплату имущественного налога 
30-11-2020, Революция имени Грефа: цифровой рубль везде и сберкоин в Сбербанке 
30-11-2020, Шапша надеется встретиться с партнерами из Германии после пандемии 
30-11-2020, Объем инвестиций в основной капитал нижегородских компаний вырос на 2,9% 
30-11-2020, Кубань увеличила производство бактерицидных рециркуляторов воздуха 
30-11-2020, На Кубани производители масличных культур получат субсидии 
30-11-2020, В Татарстане разработчики беспилотного метро пришли в ОЭЗ 
30-11-2020, Власти Калужской области рассказали об исполнении социальных обязательств 
30-11-2020, Светлана Ганеева: Москва развивается за счет инвесторов   
30-11-2020, В бундестаге оценили возобновление укладки Северного потока — 2 
30-11-2020, Сенатор рассказал, кому выгодны санкции против Северного потока — 2 
30-11-2020, В Кремле оценили целесообразность строительства моста на Сахалин 
30-11-2020, Бюджет Алтайского края полностью обеспечил здравоохранение 
